year,age,sex,notifications
2015,25-29,Male,2077
2015,25-29,Other/unknown,10
2015,30-34,Female,3661
2015,30-34,Male,2455
2015,30-34,Other/unknown,11
2015,35-39,Female,3481
2015,35-39,Male,2368
2015,35-39,Other/unknown,6
2015,40-44,Female,3285
2015,40-44,Male,2474
2015,40-44,Other/unknown,5
2015,45-49,Female,2768
2015,45-49,Male,2116
2015,45-49,Other/unknown,5
2015,50-54,Female,2550
2015,50-54,Male,1980
2015,50-54,Other/unknown,4
2015,55-59,Female,2468
2015,55-59,Male,1846
2015,55-59,Other/unknown,3
2015,60-64,Female,2324
2015,60-64,Male,1722
2015,60-64,Other/unknown,4
2015,65-69,Female,2092
2015,65-69,Male,1608
2015,65-69,Other/unknown,1
2015,70-74,Female,1650
2015,70-74,Male,1398
2015,70-74,Other/unknown,3
2015,75-79,Female,1572
2015,75-79,Male,1321
2015,75-79,Other/unknown,1
2015,80-84,Female,1378
2015,80-84,Male,1137
2015,80-84,Other/unknown,3
2015,85+,Female,2240
2015,85+,Male,1325
2015,85+,Other/unknown,6
2015,NA,Female,2
2015,NA,Male,2
2016,00-04,Female,4030
2016,00-04,Male,4610
2016,00-04,Other/unknown,6
2016,05-09,Female,3329
2016,05-09,Male,3963
2016,05-09,Other/unknown,9
2016,10-14,Female,2237
2016,10-14,Male,2743
2016,10-14,Other/unknown,6
2016,15-19,Female,2784
2016,15-19,Male,2430
2016,15-19,Other/unknown,7
2016,20-24,Female,2429
2016,20-24,Male,1830
2016,20-24,Other/unknown,5
2016,25-29,Female,2604
2016,25-29,Male,1886
2016,25-29,Other/unknown,6
2016,30-34,Female,3158
2016,30-34,Male,2251
2016,30-34,Other/unknown,8
2016,35-39,Female,3049
2016,35-39,Male,2219
2016,35-39,Other/unknown,10
2016,40-44,Female,2803
2016,40-44,Male,2154
2016,40-44,Other/unknown,6
2016,45-49,Female,2788
2016,45-49,Male,2139
2016,45-49,Other/unknown,7
2016,50-54,Female,2671
2016,50-54,Male,2183
2016,50-54,Other/unknown,3
2016,55-59,Female,2802
2016,55-59,Male,2071
2016,55-59,Other/unknown,7
2016,60-64,Female,2653
2016,60-64,Male,1907
2016,60-64,Other/unknown,2
2016,65-69,Female,2434
2016,65-69,Male,1777
2016,65-69,Other/unknown,3
2016,70-74,Female,1991
2016,70-74,Male,1721
2016,70-74,Other/unknown,2
2016,75-79,Female,1949
2016,75-79,Male,1741
2016,75-79,Other/unknown,3
2016,80-84,Female,1894
2016,80-84,Male,1559
2016,80-84,Other/unknown,1
2016,85+,Female,3920
2016,85+,Male,2121
2016,85+,Other/unknown,8
2016,NA,Female,3
2016,NA,Male,2
2017,00-04,Female,11547
2017,00-04,Male,12749
2017,00-04,Other/unknown,212
2017,05-09,Female,12758
2017,05-09,Male,14323
2017,05-09,Other/unknown,290
2017,10-14,Female,7670
2017,10-14,Male,8920
2017,10-14,Other/unknown,155
2017,15-19,Female,7006
2017,15-19,Male,6362
2017,15-19,Other/unknown,106
2017,20-24,Female,6363
2017,20-24,Male,4428
2017,20-24,Other/unknown,68
2017,25-29,Female,5865
2017,25-29,Male,3515
2017,25-29,Other/unknown,80
2017,30-34,Female,7785
2017,30-34,Male,4833
2017,30-34,Other/unknown,88
2017,35-39,Female,8599
2017,35-39,Male,5655
2017,35-39,Other/unknown,120
2017,40-44,Female,8017
2017,40-44,Male,5896
